Mito,Geno,Sex,BioRep,Detector,Ct,Repeat
Si1,del,M,1,DNAJH,26.4542,1
Si1,del,M,2,DNAJH,27.8321,1
Si1,del,F,1,DNAJH,27.8355,1
Si1,del,F,2,DNAJH,27.217,1
SM21,del,M,1,DNAJH,28.8147,1
SM21,del,M,2,DNAJH,26.4075,1
SM21,del,F,1,DNAJH,26.9497,1
SM21,del,F,2,DNAJH,28.0,1
ZW,del,M,1,DNAJH,27.3975,1
ZW,del,M,2,DNAJH,27.9285,1
ZW,del,F,1,DNAJH,27.2128,1
ZW,del,F,2,DNAJH,28.0764,1
OR,del,M,1,DNAJH,29.2579,1
OR,del,M,2,DNAJH,27.4535,1
OR,del,F,1,DNAJH,27.9669,1
OR,del,F,2,DNAJH,27.9829,1
Si1,dup,M,1,DNAJH,24.5973,1
Si1,dup,M,2,DNAJH,23.5328,1
Si1,dup,F,1,DNAJH,23.3237,1
Si1,dup,F,2,DNAJH,23.9836,1
SM21,dup,M,1,DNAJH,24.1423,1
SM21,dup,M,2,DNAJH,23.5683,1
SM21,dup,F,1,DNAJH,23.4049,1
SM21,dup,F,2,DNAJH,24.0512,1
ZW,dup,M,1,DNAJH,23.3492,1
ZW,dup,M,2,DNAJH,24.6364,1
ZW,dup,F,1,DNAJH,23.4323,1
ZW,dup,F,2,DNAJH,23.6543,1
OR,dup,M,1,DNAJH,24.5648,1
OR,dup,M,2,DNAJH,23.4845,1
OR,dup,F,1,DNAJH,23.3529,1
OR,dup,F,2,DNAJH,23.7139,1
Si1,del,M,1,DNAJH,27.5853,2
Si1,del,M,2,DNAJH,29.1851,2
Si1,del,F,1,DNAJH,27.7648,2
Si1,del,F,2,DNAJH,28.3761,2
SM21,del,M,1,DNAJH,30.8036,2
SM21,del,M,2,DNAJH,27.3413,2
SM21,del,F,1,DNAJH,27.854,2
SM21,del,F,2,DNAJH,28.5653,2
ZW,del,M,1,DNAJH,28.3231,2
ZW,del,M,2,DNAJH,30.4293,2
ZW,del,F,1,DNAJH,28.8162,2
ZW,del,F,2,DNAJH,29.5669,2
OR,del,M,1,DNAJH,31.6845,2
OR,del,M,2,DNAJH,29.1398,2
OR,del,F,1,DNAJH,29.2588,2
OR,del,F,2,DNAJH,30.1487,2
Si1,dup,M,1,DNAJH,24.7677,2
Si1,dup,M,2,DNAJH,25.0,2
Si1,dup,F,1,DNAJH,23.9932,2
Si1,dup,F,2,DNAJH,25.0136,2
SM21,dup,M,1,DNAJH,24.8407,2
SM21,dup,M,2,DNAJH,24.2254,2
SM21,dup,F,1,DNAJH,24.0488,2
SM21,dup,F,2,DNAJH,24.7273,2
ZW,dup,M,1,DNAJH,23.9683,2
ZW,dup,M,2,DNAJH,25.1975,2
ZW,dup,F,1,DNAJH,24.1393,2
ZW,dup,F,2,DNAJH,24.5605,2
OR,dup,M,1,DNAJH,25.5915,2
OR,dup,M,2,DNAJH,23.8598,2
OR,dup,F,1,DNAJH,27.9406,2
OR,dup,F,2,DNAJH,24.2797,2
