No,Sex,Genotype,Food,Rep,time
1.0,M,OO,I,1.0,7.0
1.0,M,OO,I,1.0,7.0
1.0,M,OO,I,1.0,7.0
1.0,M,OO,I,1.0,7.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,10.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,12.0
1.0,M,OO,I,1.0,16.0
1.0,M,OO,I,1.0,16.0
1.0,M,OO,I,1.0,16.0
1.0,M,OO,I,1.0,16.0
1.0,M,OO,I,1.0,16.0
1.0,M,OO,I,1.0,18.0
1.0,M,OO,I,1.0,18.0
1.0,M,OO,I,1.0,18.0
1.0,M,OO,I,1.0,20.0
1.0,M,OO,I,1.0,20.0
1.0,M,OO,I,1.0,20.0
1.0,M,OO,I,1.0,20.0
1.0,M,OO,I,1.0,22.0
1.0,M,OO,I,1.0,55.0
1.0,M,OO,III,1.0,7.0
1.0,M,OO,III,1.0,7.0
1.0,M,OO,III,1.0,7.0
1.0,M,OO,III,1.0,7.0
1.0,M,OO,III,1.0,7.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,10.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,12.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,14.0
1.0,M,OO,III,1.0,16.0
1.0,M,OO,III,1.0,16.0
1.0,M,OO,III,1.0,16.0
1.0,M,OO,III,1.0,16.0
1.0,M,OO,III,1.0,18.0
1.0,M,OO,III,1.0,20.0
1.0,M,OO,III,1.0,20.0
1.0,M,OO,III,1.0,26.0
1.0,M,OO,III,1.0,26.0
1.0,M,OO,III,1.0,26.0
1.0,M,OO,III,1.0,30.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,7.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,10.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,12.0
2.0,M,OO,I,2.0,14.0
2.0,M,OO,I,2.0,14.0
2.0,M,OO,I,2.0,14.0
2.0,M,OO,I,2.0,14.0
2.0,M,OO,I,2.0,16.0
2.0,M,OO,I,2.0,16.0
2.0,M,OO,I,2.0,16.0
2.0,M,OO,I,2.0,16.0
2.0,M,OO,I,2.0,16.0
2.0,M,OO,I,2.0,18.0
2.0,M,OO,I,2.0,18.0
2.0,M,OO,I,2.0,18.0
2.0,M,OO,I,2.0,18.0
2.0,M,OO,I,2.0,18.0
2.0,M,OO,I,2.0,20.0
2.0,M,OO,I,2.0,22.0
2.0,M,OO,I,2.0,22.0
2.0,M,OO,I,2.0,28.0
2.0,M,OO,I,2.0,34.0
2.0,M,OO,III,2.0,7.0
2.0,M,OO,III,2.0,7.0
2.0,M,OO,III,2.0,7.0
2.0,M,OO,III,2.0,7.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,10.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
2.0,M,OO,III,2.0,12.0
