No,Sex,Genotype,Food,Rep,time
17.0,M,Del,I,1.0,32.0
17.0,M,Del,I,1.0,39.0
17.0,M,Del,I,1.0,42.0
17.0,M,Del,I,1.0,48.0
17.0,M,Del,I,1.0,53.0
17.0,M,Del,I,1.0,53.0
17.0,M,Del,I,1.0,53.0
17.0,M,Del,I,1.0,53.0
17.0,M,Del,I,1.0,53.0
17.0,M,Del,I,1.0,55.0
17.0,M,Del,I,1.0,55.0
17.0,M,Del,I,1.0,58.0
17.0,M,Del,I,1.0,58.0
17.0,M,Del,I,1.0,58.0
17.0,M,Del,I,1.0,58.0
17.0,M,Del,I,1.0,60.0
17.0,M,Del,I,1.0,60.0
17.0,M,Del,I,1.0,60.0
17.0,M,Del,I,1.0,62.0
17.0,M,Del,I,1.0,62.0
17.0,M,Del,I,1.0,62.0
17.0,M,Del,I,1.0,62.0
17.0,M,Del,I,1.0,64.0
17.0,M,Del,I,1.0,64.0
17.0,M,Del,I,1.0,64.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,67.0
17.0,M,Del,I,1.0,69.0
17.0,M,Del,I,1.0,69.0
17.0,M,Del,I,1.0,69.0
17.0,M,Del,I,1.0,71.0
17.0,M,Del,I,1.0,71.0
17.0,M,Del,I,1.0,71.0
17.0,M,Del,I,1.0,71.0
17.0,M,Del,I,1.0,74.0
17.0,M,Del,I,1.0,74.0
17.0,M,Del,I,1.0,74.0
17.0,M,Del,I,1.0,74.0
17.0,M,Del,I,1.0,74.0
17.0,M,Del,III,1.0,12.0
17.0,M,Del,III,1.0,14.0
17.0,M,Del,III,1.0,14.0
17.0,M,Del,III,1.0,20.0
17.0,M,Del,III,1.0,26.0
17.0,M,Del,III,1.0,30.0
17.0,M,Del,III,1.0,34.0
17.0,M,Del,III,1.0,34.0
17.0,M,Del,III,1.0,34.0
17.0,M,Del,III,1.0,34.0
17.0,M,Del,III,1.0,34.0
17.0,M,Del,III,1.0,36.0
17.0,M,Del,III,1.0,36.0
17.0,M,Del,III,1.0,36.0
17.0,M,Del,III,1.0,39.0
17.0,M,Del,III,1.0,39.0
17.0,M,Del,III,1.0,39.0
17.0,M,Del,III,1.0,39.0
17.0,M,Del,III,1.0,39.0
17.0,M,Del,III,1.0,42.0
17.0,M,Del,III,1.0,42.0
17.0,M,Del,III,1.0,48.0
17.0,M,Del,III,1.0,48.0
17.0,M,Del,III,1.0,48.0
17.0,M,Del,III,1.0,48.0
17.0,M,Del,III,1.0,48.0
17.0,M,Del,III,1.0,50.0
17.0,M,Del,III,1.0,50.0
