No,Food,Rep,Geno,time
1,IV,1,OO,8.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,19.0
1,IV,1,OO,24.0
1,IV,1,OO,24.0
1,IV,1,OO,24.0
1,IV,1,OO,24.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,32.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
1,IV,1,OO,44.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,19.0
2,IV,2,OO,24.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,32.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
2,IV,2,OO,44.0
3,V,1,OO,24.0
3,V,1,OO,32.0
3,V,1,OO,32.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,44.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,53.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,68.0
3,V,1,OO,74.0
3,V,1,OO,56.5
3,V,1,OO,56.5
3,V,1,OO,56.5
4,V,2,OO,8.0
4,V,2,OO,32.0
4,V,2,OO,32.0
4,V,2,OO,32.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,44.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,53.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,68.0
4,V,2,OO,56.5
5,IV,1,O2,24.0
5,IV,1,O2,32.0
5,IV,1,O2,32.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,44.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,53.0
5,IV,1,O2,68.0
5,IV,1,O2,68.0
5,IV,1,O2,68.0
5,IV,1,O2,68.0
5,IV,1,O2,74.0
5,IV,1,O2,74.0
6,IV,2,O2,8.0
6,IV,2,O2,19.0
6,IV,2,O2,24.0
6,IV,2,O2,32.0
6,IV,2,O2,32.0
6,IV,2,O2,32.0
6,IV,2,O2,32.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,44.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,53.0
6,IV,2,O2,68.0
6,IV,2,O2,68.0
6,IV,2,O2,68.0
6,IV,2,O2,68.0
6,IV,2,O2,68.0
6,IV,2,O2,68.0
6,IV,2,O2,74.0
6,IV,2,O2,74.0
6,IV,2,O2,74.0
7,V,1,O2,8.0
7,V,1,O2,44.0
7,V,1,O2,44.0
7,V,1,O2,44.0
7,V,1,O2,53.0
7,V,1,O2,53.0
7,V,1,O2,53.0
7,V,1,O2,53.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,68.0
7,V,1,O2,74.0
7,V,1,O2,74.0
7,V,1,O2,74.0
7,V,1,O2,74.0
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,56.5
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,92.0
7,V,1,O2,98.5
7,V,1,O2,104.5
8,V,2,O2,8.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,53.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,68.0
8,V,2,O2,74.0
8,V,2,O2,74.0
8,V,2,O2,74.0
8,V,2,O2,74.0
8,V,2,O2,74.0
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,56.5
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,92.0
8,V,2,O2,98.5
8,V,2,O2,112.5
8,V,2,O2,120.5
8,V,2,O2,120.5
9,IV,1,2O,19.0
9,IV,1,2O,24.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,32.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,44.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,53.0
9,IV,1,2O,74.0
10,IV,2,2O,8.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,44.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,53.0
10,IV,2,2O,68.0
10,IV,2,2O,68.0
10,IV,2,2O,68.0
10,IV,2,2O,68.0
10,IV,2,2O,56.5
10,IV,2,2O,56.5
11,V,1,2O,44.0
11,V,1,2O,44.0
11,V,1,2O,53.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,68.0
11,V,1,2O,74.0
11,V,1,2O,74.0
11,V,1,2O,74.0
11,V,1,2O,74.0
