mito,Sir2,Food,Rep,Mother,Time0,Time1
si1,Del,Y,1,mito,24.0,30.0
si1,Del,Y,1,mito,24.0,30.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,24.0,30.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,48.0,55.0
si1,Del,Y,1,mito,48.0,55.0
si1,Del,Y,1,mito,48.0,55.0
si1,Del,Y,1,mito,24.0,30.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,35.0,40.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,40.0,45.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,45.0,48.0
si1,Del,Y,1,mito,20.0,24.0
si1,Del,Y,1,mito,24.0,30.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
si1,Del,Y,1,mito,30.0,35.0
