mito,Sir2,Food,Rep,Mother,Mean_LS
or,Del,S,1,mito,55.455
or,Del,S,1,w1118,60.52
or,Del,S,2,mito,56.945
or,Del,S,2,w1118,55.825
or,Del,Y,1,mito,29.5428571429
or,Del,Y,1,w1118,41.57
or,Del,Y,2,mito,27.6919191919
or,Del,Y,2,w1118,42.295
or,Dup,S,1,mito,60.0574712644
or,Dup,S,1,w1118,67.285
or,Dup,S,2,mito,79.23
or,Dup,S,2,w1118,67.655
or,Dup,Y,1,mito,45.5561797753
or,Dup,Y,1,w1118,44.26
or,Dup,Y,2,mito,50.185
or,Dup,Y,2,w1118,55.2
si1,Del,S,1,mito,53.475
si1,Del,S,1,w1118,59.355
si1,Del,S,2,mito,58.445
si1,Del,S,2,w1118,59.915
si1,Del,Y,1,mito,36.3469387755
si1,Del,Y,1,w1118,46.25
si1,Del,Y,2,mito,30.7193877551
si1,Del,Y,2,w1118,48.08
si1,Dup,S,1,mito,68.9
si1,Dup,S,1,w1118,68.755
si1,Dup,S,2,mito,65.5050505051
si1,Dup,S,2,w1118,67.06
si1,Dup,Y,1,mito,52.27
si1,Dup,Y,1,w1118,44.97
si1,Dup,Y,2,mito,50.9456521739
si1,Dup,Y,2,w1118,56.195
sm21,Del,S,1,mito,61.0918367347
sm21,Del,S,1,w1118,61.365
sm21,Del,S,2,mito,54.5
sm21,Del,S,2,w1118,58.87
sm21,Del,Y,1,mito,46.2346938776
sm21,Del,Y,1,w1118,42.965
sm21,Del,Y,2,mito,42.3392857143
sm21,Del,Y,2,w1118,43.8
sm21,Dup,S,1,mito,64.885
sm21,Dup,S,1,w1118,68.705
sm21,Dup,S,2,mito,67.5102040816
sm21,Dup,S,2,w1118,63.415
sm21,Dup,Y,1,mito,50.4315789474
sm21,Dup,Y,1,w1118,45.27
sm21,Dup,Y,2,mito,52.6616161616
sm21,Dup,Y,2,w1118,54.44
zw,Del,S,1,mito,64.39
zw,Del,S,1,w1118,61.965
zw,Del,S,2,mito,62.025
zw,Del,S,2,w1118,56.725
zw,Del,Y,1,mito,43.7291666667
zw,Del,Y,1,w1118,40.84
zw,Del,Y,2,mito,46.4387755102
zw,Del,Y,2,w1118,42.03
zw,Dup,S,1,mito,72.665
zw,Dup,S,1,w1118,66.29
zw,Dup,S,2,mito,69.4285714286
zw,Dup,S,2,w1118,64.14
zw,Dup,Y,1,mito,48.9270833333
zw,Dup,Y,1,w1118,44.06
zw,Dup,Y,2,mito,60.155
zw,Dup,Y,2,w1118,57.25
