,mito,Sir2,Food,Rep,Mother,Median_LS
0,or,Del,S,1,mito,55.0
1,or,Del,S,1,w1118,60.0
2,or,Del,S,2,mito,60.0
3,or,Del,S,2,w1118,55.0
4,or,Del,Y,1,mito,30.0
5,or,Del,Y,1,w1118,40.0
6,or,Del,Y,2,mito,23.0
7,or,Del,Y,2,w1118,40.0
8,or,Dup,S,1,mito,60.0
9,or,Dup,S,1,w1118,69.0
10,or,Dup,S,2,mito,72.0
11,or,Dup,S,2,w1118,68.0
12,or,Dup,Y,1,mito,48.0
13,or,Dup,Y,1,w1118,45.0
14,or,Dup,Y,2,mito,47.5
15,or,Dup,Y,2,w1118,55.0
16,si1,Del,S,1,mito,55.0
17,si1,Del,S,1,w1118,60.0
18,si1,Del,S,2,mito,60.0
19,si1,Del,S,2,w1118,64.0
20,si1,Del,Y,1,mito,35.0
21,si1,Del,Y,1,w1118,45.0
22,si1,Del,Y,2,mito,30.0
23,si1,Del,Y,2,w1118,40.0
24,si1,Dup,S,1,mito,69.0
25,si1,Dup,S,1,w1118,69.0
26,si1,Dup,S,2,mito,68.0
27,si1,Dup,S,2,w1118,68.0
28,si1,Dup,Y,1,mito,55.0
29,si1,Dup,Y,1,w1118,45.0
30,si1,Dup,Y,2,mito,47.5
31,si1,Dup,Y,2,w1118,55.0
32,sm21,Del,S,1,mito,60.0
33,sm21,Del,S,1,w1118,60.0
34,sm21,Del,S,2,mito,55.0
35,sm21,Del,S,2,w1118,60.0
36,sm21,Del,Y,1,mito,48.0
37,sm21,Del,Y,1,w1118,40.0
38,sm21,Del,Y,2,mito,40.0
39,sm21,Del,Y,2,w1118,40.0
40,sm21,Dup,S,1,mito,60.0
41,sm21,Dup,S,1,w1118,69.0
42,sm21,Dup,S,2,mito,72.0
43,sm21,Dup,S,2,w1118,68.0
44,sm21,Dup,Y,1,mito,48.0
45,sm21,Dup,Y,1,w1118,45.0
46,sm21,Dup,Y,2,mito,55.0
47,sm21,Dup,Y,2,w1118,47.5
48,zw,Del,S,1,mito,60.0
49,zw,Del,S,1,w1118,60.0
50,zw,Del,S,2,mito,64.0
51,zw,Del,S,2,w1118,60.0
52,zw,Del,Y,1,mito,45.0
53,zw,Del,Y,1,w1118,40.0
54,zw,Del,Y,2,mito,47.5
55,zw,Del,Y,2,w1118,40.0
56,zw,Dup,S,1,mito,72.0
57,zw,Dup,S,1,w1118,69.0
58,zw,Dup,S,2,mito,72.0
59,zw,Dup,S,2,w1118,64.0
60,zw,Dup,Y,1,mito,48.0
61,zw,Dup,Y,1,w1118,45.0
62,zw,Dup,Y,2,mito,60.0
63,zw,Dup,Y,2,w1118,57.5
