Mito,Geno,Sex,BioRep,Detector,Ct,Repeat
Si1,del,M,1,DNAJH,26.4542,1
Si1,del,M,1,dSir2,35.4396,1
Si1,del,M,1,GAPDH,16.6661,1
Si1,del,M,2,DNAJH,27.8321,1
Si1,del,M,2,dSir2,33.3138,1
Si1,del,M,2,GAPDH,17.6732,1
Si1,del,F,1,DNAJH,27.8355,1
Si1,del,F,1,dSir2,33.2998,1
Si1,del,F,1,GAPDH,18.0017,1
Si1,del,F,2,DNAJH,27.217,1
Si1,del,F,2,dSir2,24.2816,1
Si1,del,F,2,GAPDH,17.2084,1
SM21,del,M,1,DNAJH,28.8147,1
SM21,del,M,1,dSir2,32.4038,1
SM21,del,M,1,GAPDH,18.0566,1
SM21,del,M,2,DNAJH,26.4075,1
SM21,del,M,2,dSir2,,1
SM21,del,M,2,GAPDH,16.9009,1
SM21,del,F,1,DNAJH,26.9497,1
SM21,del,F,1,dSir2,31.1729,1
SM21,del,F,1,GAPDH,17.5665,1
SM21,del,F,2,DNAJH,28.0,1
SM21,del,F,2,dSir2,30.5026,1
SM21,del,F,2,GAPDH,17.9141,1
ZW,del,M,1,DNAJH,27.3975,1
ZW,del,M,1,dSir2,33.2746,1
ZW,del,M,1,GAPDH,16.3601,1
ZW,del,M,2,DNAJH,27.9285,1
ZW,del,M,2,dSir2,,1
ZW,del,M,2,GAPDH,18.1126,1
ZW,del,F,1,DNAJH,27.2128,1
ZW,del,F,1,dSir2,33.2113,1
ZW,del,F,1,GAPDH,17.0903,1
ZW,del,F,2,DNAJH,28.0764,1
ZW,del,F,2,dSir2,35.0,1
ZW,del,F,2,GAPDH,17.1103,1
OR,del,M,1,DNAJH,29.2579,1
OR,del,M,1,dSir2,,1
OR,del,M,1,GAPDH,17.7302,1
OR,del,M,2,DNAJH,27.4535,1
OR,del,M,2,dSir2,,1
OR,del,M,2,GAPDH,16.4348,1
OR,del,F,1,DNAJH,27.9669,1
OR,del,F,1,dSir2,38.4916,1
OR,del,F,1,GAPDH,17.2984,1
OR,del,F,2,DNAJH,27.9829,1
OR,del,F,2,dSir2,24.3491,1
OR,del,F,2,GAPDH,18.0,1
Si1,dup,M,1,DNAJH,24.5973,1
Si1,dup,M,1,dSir2,22.4565,1
Si1,dup,M,1,GAPDH,17.8786,1
Si1,dup,M,2,DNAJH,23.5328,1
Si1,dup,M,2,dSir2,20.3276,1
Si1,dup,M,2,GAPDH,16.9233,1
Si1,dup,F,1,DNAJH,23.3237,1
Si1,dup,F,1,dSir2,20.6,1
Si1,dup,F,1,GAPDH,17.3185,1
Si1,dup,F,2,DNAJH,23.9836,1
Si1,dup,F,2,dSir2,19.1261,1
Si1,dup,F,2,GAPDH,18.1027,1
SM21,dup,M,1,DNAJH,24.1423,1
SM21,dup,M,1,dSir2,20.1978,1
SM21,dup,M,1,GAPDH,16.94,1
SM21,dup,M,2,DNAJH,23.5683,1
SM21,dup,M,2,dSir2,22.1741,1
SM21,dup,M,2,GAPDH,17.9042,1
SM21,dup,F,1,DNAJH,23.4049,1
SM21,dup,F,1,dSir2,20.975,1
SM21,dup,F,1,GAPDH,17.5256,1
SM21,dup,F,2,DNAJH,24.0512,1
SM21,dup,F,2,dSir2,20.9016,1
SM21,dup,F,2,GAPDH,17.3435,1
ZW,dup,M,1,DNAJH,23.3492,1
ZW,dup,M,1,dSir2,22.0474,1
ZW,dup,M,1,GAPDH,17.716,1
ZW,dup,M,2,DNAJH,24.6364,1
ZW,dup,M,2,dSir2,22.1606,1
ZW,dup,M,2,GAPDH,17.7478,1
ZW,dup,F,1,DNAJH,23.4323,1
ZW,dup,F,1,dSir2,21.3725,1
ZW,dup,F,1,GAPDH,17.5598,1
ZW,dup,F,2,DNAJH,23.6543,1
ZW,dup,F,2,dSir2,21.8579,1
ZW,dup,F,2,GAPDH,17.3863,1
OR,dup,M,1,DNAJH,24.5648,1
OR,dup,M,1,dSir2,22.4151,1
OR,dup,M,1,GAPDH,17.4522,1
OR,dup,M,2,DNAJH,23.4845,1
OR,dup,M,2,dSir2,21.2691,1
OR,dup,M,2,GAPDH,17.1709,1
OR,dup,F,1,DNAJH,23.3529,1
OR,dup,F,1,dSir2,21.2343,1
OR,dup,F,1,GAPDH,17.1351,1
OR,dup,F,2,DNAJH,23.7139,1
OR,dup,F,2,dSir2,22.1075,1
OR,dup,F,2,GAPDH,17.3413,1
Si1,del,M,1,DNAJH,27.5853,2
Si1,del,M,1,dSir2,,2
Si1,del,M,1,GAPDH,17.1279,2
Si1,del,M,2,DNAJH,29.1851,2
Si1,del,M,2,dSir2,35.9943,2
Si1,del,M,2,GAPDH,18.2677,2
Si1,del,F,1,DNAJH,27.7648,2
